condition_id,pipeline,tp,tn,fp,fn,n,positives,negatives,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability
P2_D1_OLD,probability_postprocess::raw_0.5,42,26,4,54,126,96,30,0.5396825396825397,0.6520833333333333,0.9130434782608695,0.4375,0.8666666666666667,0.5915492957746479,0.2690815699826873,0.19337748344370853,0.36507936507936506,0.3762732142857142,1.2159108776783702,0.401547619047619,0.6743055555555556,0.8756728538801801,0.36035714285714276
P2_D1_OLD,probability_postprocess::raw_tuned_threshold,47,21,9,49,126,96,30,0.5396825396825397,0.5947916666666666,0.8392857142857143,0.4895833333333333,0.7,0.618421052631579,0.1625,0.13000000000000012,0.4444444444444444,0.3762732142857142,1.2159108776783702,0.401547619047619,0.6743055555555556,0.8756728538801801,0.36035714285714276
P2_D1_OLD,probability_postprocess::stacked_logistic_0.5,75,7,23,21,126,96,30,0.6507936507936508,0.5072916666666667,0.7653061224489796,0.78125,0.23333333333333334,0.7731958762886598,0.014940357616679922,0.01492537313432829,0.7777777777777778,0.22519285193048352,0.6361330630091317,0.15911037078149812,0.6130208333333333,0.862175984391593,0.6763078115707789
P2_D1_OLD,probability_postprocess::stacked_logistic_tuned_threshold,47,21,9,49,126,96,30,0.5396825396825397,0.5947916666666666,0.8392857142857143,0.4895833333333333,0.7,0.618421052631579,0.1625,0.13000000000000012,0.4444444444444444,0.22519285193048352,0.6361330630091317,0.15911037078149812,0.6130208333333333,0.862175984391593,0.6763078115707789
P2_D2_CURRENT,probability_postprocess::evidence_gate_tuned,41,23,7,55,126,96,30,0.5079365079365079,0.596875,0.8541666666666666,0.4270833333333333,0.7666666666666667,0.5694444444444444,0.1699299912407369,0.125,0.38095238095238093,0.2778184894090748,0.7602212598230887,0.2732358819706273,0.6425347222222221,0.8592206460998542,0.4995210095220052
P2_D2_CURRENT,probability_postprocess::isotonic_0.5,76,7,23,20,126,96,30,0.6587301587301587,0.5125,0.7676767676767676,0.7916666666666666,0.23333333333333334,0.7794871794871795,0.0259499648053841,0.02588996763754048,0.7857142857142857,0.28945650338161644,2.6573429110356224,0.23699659939784634,0.6378472222222222,0.8618754378333122,0.6246759656482188
P2_D2_CURRENT,probability_postprocess::isotonic_tuned_threshold,34,26,4,62,126,96,30,0.47619047619047616,0.6104166666666667,0.8947368421052632,0.3541666666666667,0.8666666666666667,0.5074626865671642,0.20494047449472835,0.132665832290363,0.30158730158730157,0.28945650338161644,2.6573429110356224,0.23699659939784634,0.6378472222222222,0.8618754378333122,0.6246759656482188
P2_D2_CURRENT,probability_postprocess::platt_0.5,72,8,22,24,126,96,30,0.6349206349206349,0.5083333333333333,0.7659574468085106,0.75,0.26666666666666666,0.7578947368421053,0.016308201826336056,0.016293279022403184,0.746031746031746,0.23707728683642765,0.6980105186627849,0.16784791872509486,0.5958333333333333,0.8416091310369139,0.6608642144175171
P2_D2_CURRENT,probability_postprocess::platt_tuned_threshold,41,23,7,55,126,96,30,0.5079365079365079,0.596875,0.8541666666666666,0.4270833333333333,0.7666666666666667,0.5694444444444444,0.1699299912407369,0.125,0.38095238095238093,0.23707728683642765,0.6980105186627849,0.16784791872509486,0.5958333333333333,0.8416091310369139,0.6608642144175171
P2_D2_CURRENT,probability_postprocess::raw_0.5,35,26,4,61,126,96,30,0.48412698412698413,0.615625,0.8974358974358975,0.3645833333333333,0.8666666666666667,0.5185185185185185,0.2130522158635064,0.1398865784499056,0.30952380952380953,0.40878293650793646,1.303625581197989,0.42912698412698413,0.6425347222222221,0.8592206460998542,0.33277777777777784
P2_D2_CURRENT,probability_postprocess::raw_tuned_threshold,41,23,7,55,126,96,30,0.5079365079365079,0.596875,0.8541666666666666,0.4270833333333333,0.7666666666666667,0.5694444444444444,0.1699299912407369,0.125,0.38095238095238093,0.40878293650793646,1.303625581197989,0.42912698412698413,0.6425347222222221,0.8592206460998542,0.33277777777777784
P2_D2_CURRENT,probability_postprocess::stacked_logistic_0.5,72,8,22,24,126,96,30,0.6349206349206349,0.5083333333333333,0.7659574468085106,0.75,0.26666666666666666,0.7578947368421053,0.016308201826336056,0.016293279022403184,0.746031746031746,0.23704298690905762,0.6978571505822325,0.16783114751842357,0.5958333333333333,0.8416091310369139,0.6609123853674163
P2_D2_CURRENT,probability_postprocess::stacked_logistic_tuned_threshold,41,23,7,55,126,96,30,0.5079365079365079,0.596875,0.8541666666666666,0.4270833333333333,0.7666666666666667,0.5694444444444444,0.1699299912407369,0.125,0.38095238095238093,0.23704298690905762,0.6978571505822325,0.16783114751842357,0.5958333333333333,0.8416091310369139,0.6609123853674163
P3_D1_OLD,probability_postprocess::evidence_gate_tuned,42,24,6,54,126,96,30,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.38095238095238093,0.37847144881035905,1.1460242327008432,0.4205643773721452,0.6508680555555555,0.8787393380822841,0.3413403845326166
P3_D1_OLD,probability_postprocess::isotonic_0.5,78,7,23,18,126,96,30,0.6746031746031746,0.5229166666666667,0.7722772277227723,0.8125,0.23333333333333334,0.7918781725888325,0.04894935754389833,0.048618784530386705,0.8015873015873016,0.2392081407030024,1.6376710013947475,0.17503469267496066,0.6060763888888889,0.837301062328734,0.6873003636706319
P3_D1_OLD,probability_postprocess::isotonic_tuned_threshold,42,24,6,54,126,96,30,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.38095238095238093,0.2392081407030024,1.6376710013947475,0.17503469267496066,0.6060763888888889,0.837301062328734,0.6873003636706319
P3_D1_OLD,probability_postprocess::platt_0.5,72,9,21,24,126,96,30,0.6428571428571429,0.525,0.7741935483870968,0.75,0.3,0.7619047619047619,0.04843594796964827,0.048338368580060354,0.7380952380952381,0.22143347173049235,0.6297381225524118,0.14935457705279162,0.6041666666666667,0.8544297672101595,0.6715516035594069
P3_D1_OLD,probability_postprocess::platt_tuned_threshold,41,26,4,55,126,96,30,0.5317460317460317,0.646875,0.9111111111111111,0.4270833333333333,0.8666666666666667,0.5815602836879432,0.2611111111111111,0.18540433925049316,0.35714285714285715,0.22143347173049235,0.6297381225524118,0.14935457705279162,0.6041666666666667,0.8544297672101595,0.6715516035594069
P3_D1_OLD,probability_postprocess::raw_0.5,30,29,1,66,126,96,30,0.46825396825396826,0.6395833333333334,0.967741935483871,0.3125,0.9666666666666667,0.47244094488188976,0.2760686905491603,0.15999999999999992,0.24603174603174602,0.4248043650793651,1.3693462834829275,0.47063492063492063,0.6838541666666667,0.8784630240078214,0.29126984126984123
P3_D1_OLD,probability_postprocess::raw_tuned_threshold,42,24,6,54,126,96,30,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.38095238095238093,0.4248043650793651,1.3693462834829275,0.47063492063492063,0.6838541666666667,0.8784630240078214,0.29126984126984123
P3_D1_OLD,probability_postprocess::stacked_logistic_0.5,73,9,21,23,126,96,30,0.6507936507936508,0.5302083333333333,0.776595744680851,0.7604166666666666,0.3,0.7684210526315789,0.059117231620468204,0.05906313645621175,0.746031746031746,0.22248453799305354,0.6323277749025252,0.1781986307100626,0.6083333333333333,0.8587893360752983,0.6711199785165249
P3_D1_OLD,probability_postprocess::stacked_logistic_tuned_threshold,47,24,6,49,126,96,30,0.5634920634920635,0.6447916666666667,0.8867924528301887,0.4895833333333333,0.8,0.6308724832214765,0.2498448730395128,0.19399860432658766,0.42063492063492064,0.22248453799305354,0.6323277749025252,0.1781986307100626,0.6083333333333333,0.8587893360752983,0.6711199785165249
P3_D2_CURRENT,probability_postprocess::evidence_gate_tuned,37,23,7,59,126,96,30,0.47619047619047616,0.5760416666666667,0.8409090909090909,0.3854166666666667,0.7666666666666667,0.5285714285714286,0.13587657843656314,0.09530026109660572,0.3492063492063492,0.4170696105700331,1.2571462374233964,0.468409963993469,0.6276041666666666,0.8620838730140874,0.29895770307273306
P3_D2_CURRENT,probability_postprocess::isotonic_0.5,65,10,20,31,126,96,30,0.5952380952380952,0.5052083333333334,0.7647058823529411,0.6770833333333334,0.3333333333333333,0.7182320441988951,0.009469425238482128,0.009250693802035137,0.6746031746031746,0.27444149547257995,1.615940154796441,0.23954983374450484,0.6079861111111111,0.8548515896500575,0.6424600501466216
P3_D2_CURRENT,probability_postprocess::isotonic_tuned_threshold,43,26,4,53,126,96,30,0.5476190476190477,0.6572916666666667,0.9148936170212766,0.4479166666666667,0.8666666666666667,0.6013986013986014,0.27705722446612274,0.2014676450967311,0.373015873015873,0.27444149547257995,1.615940154796441,0.23954983374450484,0.6079861111111111,0.8548515896500575,0.6424600501466216
P3_D2_CURRENT,probability_postprocess::platt_0.5,68,7,23,28,126,96,30,0.5952380952380952,0.4708333333333333,0.7472527472527473,0.7083333333333334,0.23333333333333334,0.7272727272727273,-0.05547001962252291,-0.055172413793103336,0.7222222222222222,0.2303786493247258,0.6530830888094917,0.16609398534225997,0.5812499999999999,0.8483381249056396,0.6684110018845248
P3_D2_CURRENT,probability_postprocess::platt_tuned_threshold,43,26,4,53,126,96,30,0.5476190476190477,0.6572916666666667,0.9148936170212766,0.4479166666666667,0.8666666666666667,0.6013986013986014,0.27705722446612274,0.2014676450967311,0.373015873015873,0.2303786493247258,0.6530830888094917,0.16609398534225997,0.5812499999999999,0.8483381249056396,0.6684110018845248
P3_D2_CURRENT,probability_postprocess::raw_0.5,21,29,1,75,126,96,30,0.3968253968253968,0.5927083333333334,0.9545454545454546,0.21875,0.9666666666666667,0.3559322033898305,0.20802570527688174,0.10033821871476889,0.1746031746031746,0.4688130952380953,1.477997135123116,0.5167460317460316,0.6512152777777778,0.863961467446282,0.24515873015873016
P3_D2_CURRENT,probability_postprocess::raw_tuned_threshold,43,26,4,53,126,96,30,0.5476190476190477,0.6572916666666667,0.9148936170212766,0.4479166666666667,0.8666666666666667,0.6013986013986014,0.27705722446612274,0.2014676450967311,0.373015873015873,0.4688130952380953,1.477997135123116,0.5167460317460316,0.6512152777777778,0.863961467446282,0.24515873015873016
P3_D2_CURRENT,probability_postprocess::stacked_logistic_0.5,68,7,23,28,126,96,30,0.5952380952380952,0.4708333333333333,0.7472527472527473,0.7083333333333334,0.23333333333333334,0.7272727272727273,-0.05547001962252291,-0.055172413793103336,0.7222222222222222,0.23000358989075984,0.6516862823877957,0.20000395503399304,0.5918402777777777,0.855973112854349,0.6690280348308343
P3_D2_CURRENT,probability_postprocess::stacked_logistic_tuned_threshold,52,22,8,44,126,96,30,0.5873015873015873,0.6375,0.8666666666666667,0.5416666666666666,0.7333333333333333,0.6666666666666666,0.23452078799117146,0.19469026548672563,0.47619047619047616,0.23000358989075984,0.6516862823877957,0.20000395503399304,0.5918402777777777,0.855973112854349,0.6690280348308343
