provider,model,condition_id,definition_id,prompt_style,label_space,seed,method,n,positives,negatives,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,platt_0.5,42,32,10,24,2,8,8,0.6190476190476191,0.475,0.75,0.75,0.2,0.75,-0.05,-0.050000000000000044,0.7619047619047619,0.23162824497291512,0.6595129328669587,0.2106179099182036,0.5234375,0.8037011489600738,0.6748299305343356
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,platt_tuned_threshold,42,32,10,11,7,3,21,0.42857142857142855,0.521875,0.7857142857142857,0.34375,0.7,0.4782608695652174,0.03952847075210474,0.027027027027026973,0.3333333333333333,0.23162824497291512,0.6595129328669587,0.2106179099182036,0.5234375,0.8037011489600738,0.6748299305343356
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,raw_0.5,42,32,10,9,9,1,23,0.42857142857142855,0.590625,0.9,0.28125,0.9,0.42857142857142855,0.18125,0.10320284697508886,0.23809523809523808,0.37889285714285714,1.0606524883126618,0.44785714285714273,0.6171875,0.8548719845342829,0.34500000000000003
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,raw_tuned_threshold,42,32,10,11,7,3,21,0.42857142857142855,0.521875,0.7857142857142857,0.34375,0.7,0.4782608695652174,0.03952847075210474,0.027027027027026973,0.3333333333333333,0.37889285714285714,1.0606524883126618,0.44785714285714273,0.6171875,0.8548719845342829,0.34500000000000003
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,stacked_logistic_0.5,42,32,10,24,2,8,8,0.6190476190476191,0.475,0.75,0.75,0.2,0.75,-0.05,-0.050000000000000044,0.7619047619047619,0.23179630838847504,0.6600699161127822,0.21168361277481623,0.534375,0.8101696913107121,0.6745767107483247
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,stacked_logistic_tuned_threshold,42,32,10,15,7,3,17,0.5238095238095238,0.584375,0.8333333333333334,0.46875,0.7,0.6,0.14523687548277814,0.11392405063291133,0.42857142857142855,0.23179630838847504,0.6600699161127822,0.21168361277481623,0.534375,0.8101696913107121,0.6745767107483247
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,evidence_gate_tuned,42,32,10,15,9,1,17,0.5714285714285714,0.684375,0.9375,0.46875,0.9,0.625,0.323415144619467,0.23790322580645162,0.38095238095238093,0.24877470718049852,0.6763122649414901,0.23910758552911793,0.6656249999999999,0.8739472477753727,0.522797176375644
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,isotonic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.18193808736818834,0.7735728016416435,0.10602229310854783,0.621875,0.8478000204053192,0.7488794359656905
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,isotonic_tuned_threshold,42,32,10,15,9,1,17,0.5714285714285714,0.684375,0.9375,0.46875,0.9,0.625,0.323415144619467,0.23790322580645162,0.38095238095238093,0.18193808736818834,0.7735728016416435,0.10602229310854783,0.621875,0.8478000204053192,0.7488794359656905
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,platt_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.1776711919961437,0.5278184506082474,0.13356763119610912,0.6390625,0.8624955028742393,0.7485910557210623
