condition_id,provider,document_id,document_title,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,estimated_cost_usd,mean_latency_seconds
P2_D3_ADAPTIVE,openai,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,1,13,1,4,0,9,0.35714285714285715,0.55,1.0,0.1,1.0,0.18181818181818182,0.17541160386140586,0.059701492537313605,0.3076923076923077,0.5819428571428571,1.0,0.8571428571428571,0.8571428571428571,0.9371428571428572,16565,2384,0.08749937499999999,2.5190563372142782
P2_D3_ADAPTIVE,openai,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,1,6,1,1,0,5,0.2857142857142857,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.05405405405405417,0.16666666666666666,0.5810285714285713,1.0,1.0,1.0,0.9085714285714285,7756,952,0.03850437499999999,1.8158161940000193
P3_D1_OLD,anthropic,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,12,9,8,1,4,8,0.42857142857142855,0.35,0.6666666666666666,0.5,0.2,0.5714285714285714,-0.25819888974716115,-0.23529411764705888,0.1111111111111111,0.4095809523809523,1.0,0.7619047619047619,0.8571428571428571,0.8123809523809523,39777,4788,0.06371700000000001,3.2322566894761815
P3_D1_OLD,anthropic,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,5,9,5,4,0,5,0.6428571428571429,0.75,1.0,0.5,1.0,0.6666666666666666,0.4714045207910317,0.36363636363636365,0.4444444444444444,0.32085,1.0,0.6428571428571429,1.0,0.8735714285714286,27293,3013,0.042358,2.394664252857134
P3_D1_OLD,anthropic,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,5,2,5,1,0,1,0.8571428571428571,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.6454972243679028,0.588235294117647,0.5,0.16704285714285713,1.0,1.0,1.0,0.8300000000000001,13069,1481,0.020474,2.3477780861428204
P3_D1_OLD,gemini,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,9,12,7,3,2,9,0.47619047619047616,0.51875,0.7777777777777778,0.4375,0.6,0.56,0.032274861218395144,0.025316455696202445,0.25,0.49952380952380954,1.0,0.9523809523809523,0.9523809523809523,0.9571428571428572,14361,5504,0.011846250000000001,2.142571410190461
P3_D1_OLD,gemini,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.4180357142857143,1.0,0.8571428571428571,0.8571428571428571,0.9607142857142856,10293,3503,0.00782775,1.4373362710714122
P3_D1_OLD,gemini,the_katrina_effect_on_american_preparedness_a_report_on_the_lessons_americans_le,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,4,3,4,1,0,2,0.7142857142857143,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,0.47140452079103173,0.36363636363636376,0.3333333333333333,0.2914285714285713,1.0,1.0,1.0,0.942857142857143,4611,1723,0.00373725,1.9337714285713576
P3_D1_OLD,openai,epa_katrina_lessons,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,8,13,7,4,1,9,0.5238095238095238,0.61875,0.875,0.4375,0.8,0.5833333333333334,0.20830127958541944,0.153225806451613,0.3076923076923077,0.4335142857142857,1.0,0.9523809523809523,0.9523809523809523,0.8847619047619046,23271,4242,0.1363125,2.605525122285734
P3_D1_OLD,openai,hurricane_katrina_gao_s_preliminary_observations_regarding_preparedness_response,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,8,6,6,2,2,4,0.5714285714285714,0.55,0.75,0.6,0.5,0.6666666666666666,0.09128709291752768,0.08695652173913038,0.3333333333333333,0.36215714285714284,1.0,1.0,1.0,0.8585714285714287,16229,3182,0.098419375,2.9297793272856927
