provider,run_name,requested_model,prompt_variant,evaluation_scope,target_family,optimized_threshold,optimization_status,optimization_objective,optimization_method,optimized_valid_prediction_n,optimized_reference_positive_n,optimized_reference_negative_n,optimized_predicted_positive_n,optimized_accuracy,optimized_recall,optimized_precision,optimized_f1,optimized_specificity,optimized_auroc,optimized_auroc_flag,optimized_tn,optimized_fp,optimized_fn,optimized_tp,optimized_distance_from_0_5
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,0.06,optimized,f1,in_sample_exploratory,68,49,19,52,0.6617647058823529,0.7959183673469388,0.75,0.7722772277227723,0.3157894736842105,0.6353383458646615,,6,13,10,39,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,0.06,optimized,f1,in_sample_exploratory,53,39,14,43,0.6226415094339622,0.7948717948717948,0.7209302325581395,0.7560975609756098,0.14285714285714285,0.5769230769230769,,2,12,8,31,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,0.06,optimized,f1,in_sample_exploratory,114,85,29,89,0.631578947368421,0.7764705882352941,0.7415730337078652,0.7586206896551724,0.20689655172413793,0.630628803245436,,6,23,19,66,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,0.06,optimized,f1,in_sample_exploratory,43,41,2,33,0.7209302325581395,0.7560975609756098,0.9393939393939394,0.8378378378378378,0.0,0.6951219512195121,,0,2,10,31,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,0.06,optimized,f1,in_sample_exploratory,76,46,30,47,0.6447368421052632,0.717391304347826,0.7021276595744681,0.7096774193548387,0.5333333333333333,0.6797101449275362,,16,14,13,33,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_with_checklist,new_gold_test_only,new_gold,0.06,optimized,f1,in_sample_exploratory,76,46,30,47,0.6447368421052632,0.717391304347826,0.7021276595744681,0.7096774193548387,0.5333333333333333,0.6797101449275362,,16,14,13,33,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_with_checklist,old_gold_test_only,old_gold,0.06,optimized,f1,in_sample_exploratory,76,54,22,47,0.6710526315789473,0.7037037037037037,0.8085106382978723,0.7524752475247525,0.5909090909090909,0.6906565656565657,,13,9,16,38,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_with_checklist,labeler_anmol,individual_coder,0.06,optimized,f1,in_sample_exploratory,53,39,14,38,0.6792452830188679,0.7692307692307693,0.7894736842105263,0.7792207792207793,0.42857142857142855,0.6712454212454213,,6,8,9,30,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_with_checklist,pooled_coder_labels,pooled_coder_decisions,0.06,optimized,f1,in_sample_exploratory,122,90,32,82,0.6721311475409836,0.7333333333333333,0.8048780487804879,0.7674418604651163,0.5,0.6800347222222222,,16,16,24,66,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_with_checklist,labeler_kyle,individual_coder,0.06,optimized,f1,in_sample_exploratory,51,46,5,33,0.7058823529411765,0.6956521739130435,0.9696969696969697,0.810126582278481,0.8,0.7456521739130435,,4,1,14,32,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_with_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,0.06,optimized,f1,in_sample_exploratory,68,41,27,44,0.6617647058823529,0.7560975609756098,0.7045454545454546,0.7294117647058823,0.5185185185185185,0.7100271002710028,,14,13,10,31,0.44
